"repo","category","purpose","stars","last_activity","language","license","maturity","build_status","test_status","data_model_quality","browser_ready","server_ready","DXF","DWG","SVG","PDF","3D","schematic","topology","panel_layout","routing","component_library","AI","integration_effort","commercial_license_risk","what_to_reuse","what_to_learn","why_not_use","tier","notes"
"jgraph/drawio","diagram","General diagram editor","8.1k","2026-09-08","JavaScript","Apache-2.0","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes/adapter","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","H","low","General diagram editor","Workflow/shape library reference; electrical semantics absent.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Workflow/shape library reference; electrical semantics absent."
"svgdotjs/svg.js","canvas","Lightweight SVG manipulation","11.8k","2026-08-04","TypeScript","MIT","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","H","low","Lightweight SVG manipulation","Small renderer utility; no CAD persistence.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Small renderer utility; no CAD persistence."
"thiagoralves/OpenPLC_Editor","plc","IEC 61131-3 PLC editor","577","2025-11-06","Python","GPL-3.0","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","IEC 61131-3 PLC editor","PLC workflow reference; copyleft and different domain.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; PLC workflow reference; copyleft and different domain."
"OpenEMS/openEMS","simulation","Electromagnetic simulation suite","1.6k","2026-09-08","C++/Matlab","AGPL-3.0;EPL-2.0","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","Electromagnetic simulation suite","Out of MVP scope; useful only for future physics boundary.","Scope, license, or maturity mismatch for core","D","Checked 2026-09-15 via GitHub page/commits.atom; Out of MVP scope; useful only for future physics boundary."
"circuitikz/circuitikz","electrical-schematic","LaTeX circuit drawing package","585","2026-09-12","TeX","GPL-2.0","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes","unknown","unknown","yes","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","LaTeX circuit drawing package","High-quality symbol rendering; batch document output only.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; High-quality symbol rendering; batch document output only."
"KLayout/klayout","2d-cad","IC layout editor and geometry engine","1.2k","2026-08-26","C++/Ruby","GPL-2.0","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes/adapter","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","IC layout editor and geometry engine","Geometry/selection reference; semiconductor domain and GPL.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Geometry/selection reference; semiconductor domain and GPL."
"CGAL/cgal","geometry","Computational geometry algorithms","6.0k","2026-09-14","C++","GPL-3.0/commercial","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","yes","unknown","unknown","unknown","H","review / copyleft or provenance","Computational geometry algorithms","Robust algorithms; commercial licensing needed for proprietary linkage.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Robust algorithms; commercial licensing needed for proprietary linkage."
"OpenBoardView/OpenBoardView","2d-cad","Boardview file viewer","1.8k","2026-09-05","C++","GPL-2.0","research/niche","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","yes","yes/adapter","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","Boardview file viewer","Not cabinet CAD; niche parser reference.","Scope, license, or maturity mismatch for core","D","Checked 2026-09-15 via GitHub page/commits.atom; Not cabinet CAD; niche parser reference."
"eclipse-elk/elk","layout","Eclipse Layout Kernel","373","2026-08-05","Java","EPL-2.0","mature/reference","metadata/docs inspected","not run in this docs pass","generic geometry/graph model","no/adapter","yes/adapter","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","M-H","review / copyleft or provenance","Eclipse Layout Kernel","Server-side layered layout reference; Java integration.","Scope, license, or maturity mismatch for core","B","Checked 2026-09-15 via GitHub page/commits.atom; Server-side layered layout reference; Java integration."
"Open-Cascade-SAS/OCCT-samples","3d-cad","OpenCascade sample applications","3","2026-05-03","C++","LGPL-2.1","research/niche","metadata/docs inspected","not run in this docs pass","domain model present; verify scope","no/adapter","yes/adapter","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","H","review / copyleft or provenance","OpenCascade sample applications","Examples only; kernel integration burden remains.","Scope, license, or maturity mismatch for core","C","Checked 2026-09-15 via GitHub page/commits.atom; Examples only; kernel integration burden remains."
